name,phone,company_name,location,trade_type,source_url,notes
"Bali Home Builder","+62 812 3815 4049","PT. Bangun Huni Bestari","Kuta","General Contractor","https://balihomebuilder.com","Jalan Raya Tuban 62, Kuta"
"Bali Contractor","+62 81 810 88 08","Construction Bali","Kuta","General Contractor","https://bali-contractor.com","Jalan Patih Jelantik, Central Park"
"Amari Bali Ananta","+62 81999547122","Contractor Bali","Denpasar","General Contractor","https://www.contractorbali.com","Also +62 812 3891 622 (English)"
"Kubu Bali Construction","+62 361 8483745","Kubu Bali","Denpasar","General Contractor","https://kububaliconstruction.net","A-grade commercial projects"
"Raga Pool","+62 812 3058 6662","Raga Pool","Bali","Pool Builder","https://www.ragapool.co.id","5yr construction warranty"
"Tropical Pool & Spa","+62 822 3696 6965","Tropical Pool","Sanur","Pool Builder","https://tropicalpoolbali.com","Building pools since 1988"
"Esparindo Pools","+62 82 273185566","Esparindo","Legian","Pool Builder","https://esparindopools.com","Jl. Dewi Sri 88, Legian"
"Mimba Pool & Spa","+62 821 3331 1435","Mimba Pool","Kerobokan","Pool Builder","https://mimbapool.com","Also in Sanur"
"Bali Builders","+62 81919277779","Bali Builders","Bali","General Contractor","https://instagram.com/bali_builder","Instagram: @bali_builder"
"Design Bali Architect","+62 812 463 4536","Design Bali","Denpasar","Architect","https://www.designbali.com","JL. Sekar Tunjung, Gatot Subroto"
"Balivestor","+62 813 3705 6318","Balivestor","Bali","Architect","https://www.balivestor.com","10+ years experience"
"BNP Architect","+62 821 4639 5459","BNP Bali","Denpasar","Architect","https://bnparchitect.com","Pendidikan Street, Sidakarya"
"Bali Design Solutions","+62 361 844 6716","BDS","Denpasar","Interior Designer","https://balidesignsolutions.com","25 years experience"
"Rupa Rupa Studio","+62 823 3174 0543","Rupa Rupa","Denpasar","Interior Designer","https://www.ruparupastudio.id","Sesetan, Denpasar Selatan"
"Kareya Interior","+62 811 3802 531","Kareya","Bali","Interior Designer","https://kareya-interior.com","Residential and commercial"
"MBLA Studio","+62 811 3880 4050","CV Rimbun Arana","Denpasar","Landscaper","https://www.mblastudio.com","Jalan Letda Made Putra No 18/8"
"Bali Landscape Company","+62 361 8975105","Bali Landscape","Canggu","Landscaper","https://www.balilandscapecompany.com","Jalan Batu Mejan 32AB"
"PT Kizuna Jepang","+62 819 0749 2872","Kizuna Jepang","Denpasar","General Contractor","https://kizunajepang.com","Japanese technology, apartments/villas"
"Gedong Bali","+62 81337191777","Gedong Bali","Denpasar","General Contractor","https://gedongbali.com","Jl. Tukad Badung No.234, Renon"
"WAK Bali","+62 813 3755 4147","Wahana Adi Karya","Denpasar","General Contractor","https://wakbali.com","Founded 2016, interior design + contractor"
"Balitecture","+62 811 3909 045","Balitecture","Tibubeneng","General Contractor","https://www.balitecture.com","Australian-owned, 1M+ followers"
"Balitecture Front Office","+62 813 3978 3231","Balitecture","Tibubeneng","General Contractor","https://www.balitecture.com","Front office number"
"Mr Fixit Bali","+62 81558 000 860","Mr Fixit","Sanur","Renovation Specialist","https://www.mrfixitbali.com","Property maintenance, renovation"
"Mr Fixit Office","+62 361 288 789","Mr Fixit","Sanur","Renovation Specialist","https://www.mrfixitbali.com","Office landline"
"Bali Villa Construction","+62 81 810 88 08","Villa Bali Tropic","Seminyak","General Contractor","https://constructionbali.com","Best contractor in Bali claim"
"Greenwise Constructions","","Greenwise","Seminyak","General Contractor","https://www.greenwise-constructions.com","Bali, Lombok, Sumbawa"
"IDL Bali Construction","","IDL Bali","Bali","General Contractor","https://baliconstruction.id","600+ workers, 24/7 monitoring"
"Bali Contractors","","Bali Contractors","Bali","General Contractor","https://balicontractors.com","10+ years, 95% satisfaction"
"Image Bali Contractors","","Image Bali","Bali","General Contractor","https://contractor.imagebali.com","Est. 1997, hotels/villas/resorts"
"Nata Nusa","","Nata Nusa","Bali","General Contractor","https://www.natanusa.id","Villa construction, renovation"
"Bali General Contractor","","Bali General","Bali","General Contractor","https://www.baligeneralcontractor.com","Commercial and residential"
"May & Lou International","","May & Lou","Seminyak","General Contractor","https://www.mayloubalibuilder.com","Building contractor"
"Sunar Jaya Group","","Sunar Jaya","Bali","General Contractor","https://sunarjayagroup.com","Leading contractor"
"Archiola","","Archiola","Bali","Architect","https://archiola.com","Architect, interior, contractor"
"iLot Property Bali","","iLot Property","Bali","Architect","https://ilotpropertybali.com","Award-winning architecture"
"Bali Interiors","","Bali Interiors","Bali","Interior Designer","https://www.bali-interiors.com","Interior design"
"Kapi Nala Landscape","","Kapi Nala","Bali","Landscaper","https://www.kapinala.com","Landscape and garden"
"Bali Landscaping","","Bali Landscaping","Gianyar","Landscaper","https://www.balilandscaping.com","Family owned, vertical gardens"
"Rasita Karya Bali","","Rasita Karya","Bali","General Contractor","https://rasitakaryabali.com","Villas from Ubud to Canggu"
"Bali Villa Kontraktor","","CV Bali Villa","Bali","General Contractor","https://balivillakontraktor.com","Design, contractor, interior"
"HAVEN Contractor","","HAVEN","Bali","General Contractor","","Highly recommended by expats"
"Populaire","","Populaire","Bali","General Contractor","","50+ years, 700+ homes"
"Construct Bali","","Construct Bali","Bali","General Contractor","","Top-quality, professional"
"Kingswood","","Kingswood","Jimbaran","General Contractor","","Australian-standard precision"
"Karyanusa Asia","","Karyanusa","Bali","General Contractor","https://karyanusa.asia","Turnkey solutions, 10+ years"
"Asali Bali","","Asali Bali","Bali","Architect","","Boutique architecture + construction"
"ODISEA Bali","","ODISEA","Bali","General Contractor","","Very reliable - expat recommended"
